Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,CIN,NBA,SG,72,NA,852,6.5,15.3,0.421,2.6,3.3,0.785,NA,NA,5.6,3.7,NA,NA,3.3,15.5
1966-67,23,CIN,NBA,SF,60,NA,1194,6.5,14.9,0.44,2.2,3.1,0.712,NA,NA,4.9,2.8,NA,NA,2.5,15.3
1967-68,24,SDR,NBA,SG,65,NA,1876,6.1,14.5,0.417,3,3.5,0.867,NA,NA,3.8,3.4,NA,NA,2.2,15.1
1968-69,25,MIL,NBA,SG,80,NA,2888,8.3,16.9,0.487,3.1,3.6,0.842,NA,NA,4.3,3.9,NA,NA,2.3,19.6
1969-70,26,MIL,NBA,SG,82,NA,2966,7.8,14.6,0.53,2.1,2.4,0.854,NA,NA,3.1,3.7,NA,NA,2,17.6
1970-71,27,MIL,NBA,SG,82,NA,2891,7.1,13.4,0.535,1.8,2.1,0.862,NA,NA,2.8,3.8,NA,NA,2.4,16.1
1971-72,28,MIL,NBA,SG,80,NA,2213,6.1,11.9,0.51,1.8,2,0.865,NA,NA,2.9,3.8,NA,NA,2.4,13.9
1972-73,29,MIL,NBA,SG,80,NA,1951,6.5,12.9,0.502,1.2,1.3,0.863,NA,NA,2.9,4.4,NA,NA,2.2,14.1
1973-74,30,MIL,NBA,SG,79,NA,1910,6.2,13.1,0.475,1.4,1.5,0.9,0.6,2,2.6,4.5,0.8,0.1,2.4,13.8
1974-75,31,MIL,NBA,SG,79,NA,1853,6.3,12.6,0.496,1.2,1.4,0.875,0.5,1.8,2.3,5,1,0.1,2.8,13.8
1975-76,32,MIL,NBA,SG,33,NA,336,6.8,15.9,0.426,1,1.1,0.9,0.3,1.5,1.8,4.1,0.9,0,1.9,14.5
Career,NA,,NBA,,792,NA,20930,6.9,14.1,0.489,2,2.4,0.845,0.5,1.9,3.3,3.9,0.9,0.1,2.4,15.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,MIL,NBA,,595,NA,17008,7,13.9,0.505,1.9,2.2,0.86,0.5,1.9,3,4.1,0.9,0.1,2.3,15.9
2 seasons,NA,CIN,NBA,,132,NA,2046,6.5,15.1,0.432,2.4,3.2,0.743,NA,NA,5.2,3.2,NA,NA,2.8,15.4
1 season,NA,SDR,NBA,,65,NA,1876,6.1,14.5,0.417,3,3.5,0.867,NA,NA,3.8,3.4,NA,NA,2.2,15.1
