Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1968-69,25,MIL,NBA,SG,1,0,7:00,1,2,0.5,0,0,NA,NA,1,0,NA,NA,0,2
Career,NA,,NBA,,1,0,7,1,2,0.5,0,0,NA,NA,1,0,NA,NA,0,2
