Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jon McGlocklin,,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2
John Wall,93.3,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA
Darrell Armstrong,91.7,8.7,8,7.6,6.4,5.3,4.9,2.5,1.8,0.8,0.1,0.1
Avery Johnson,91.1,9.1,8,6.7,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Doug Christie,90.3,8.9,8.7,8.6,7,5.1,4.2,4,1.4,1.4,0.1,-0.3
Brian Taylor,89.9,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA
Kenny Smith,89.5,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA
Michael Adams,89.2,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
Otis Birdsong,89.0,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0,-0.1
Klay Thompson,88.6,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA,NA
Jerry Stackhouse,88.1,9.2,7.3,6.5,5.8,4.7,3.5,2.4,2.1,1.9,1.2,0.2
