,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,CIN,NBA,,5,12,1,1,,,3,3,,,,11
1969-70,26,MIL,NBA,,10,,7,7,,,,,,,,24
1970-71,27,MIL,NBA,,14,,4,5,,,,,,,,28
1971-72,28,MIL,NBA,,8,13,2,2,,,1,2,,,3,16
1972-73,29,MIL,NBA,,9,16,3,3,,,3,3,,,4,19
1973-74,30,MIL,NBA,,8,12,3,3,,,3,8,,,5,17
1975-76,32,MIL,NBA,,2,3,0,0,,,1,1,1,0,2,4
Career,,,,,14,,7,7,,,,,,,,28
6 Seasons,,MIL,NBA,,14,,7,7,,,,,,,,28
1 Season,,CIN,NBA,,5,12,1,1,,,3,3,,,,11
