Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bird Averitt,,3.7,2.6,-0.5,-0.7,-1.1
Pat Connaughton,51.1,3.9,2.5,0.6,-0.2,NA
Ron Sobie,48.8,3.6,2.6,0.9,0.1,NA
Bryn Forbes,48.5,3.8,2.1,0.1,NA,NA
Bill Tosheff,48.0,2.9,2.8,-0.6,NA,NA
Mike Barrett,46.0,4.9,2.7,-0.1,NA,NA
Mel Riebe,45.9,4.2,2.2,0,NA,NA
Billy Ray Bates,44.9,3.6,2.4,0.9,0,NA
Keith Jennings,43.7,4.2,2.9,0.6,NA,NA
Curly Armstrong,43.3,3.5,3.1,0.6,NA,NA
Earl Tatum,42.5,4.4,2.6,0.7,0,NA
