Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Monk Meineke,,6.1,3.7,2.6,1.8,0.7
Michael Kidd-Gilchrist,92.9,5.8,3.8,3.1,2.1,0.6
Trevor Ariza,92.7,6.1,3.4,2.1,1.8,0.9
Jim Baechtold,92.6,6,3.2,2.6,2.1,0.9
Chris Wilcox,91.4,6,4.4,2.6,1.3,0.6
Ronald Franz,91.2,5.9,3.7,3.3,2.1,0.9
Robert Covington,90.7,6.1,4,3.1,2,0.1
Kyle Anderson,90.3,6.2,3.5,2.7,2.7,0.3
Jason Maxiell,90.0,6.3,4.1,2.6,1.8,-0.2
Tom Boswell,89.5,5.6,3.7,2.7,2.4,0.2
Walt Budko,88.3,5.6,4,2.7,1.5,NA
