Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Monk Meineke,,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA
Jim Baechtold,92.6,6,3.2,2.6,2.1,0.9,NA,NA,NA,NA
Tom Boswell,91.4,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA
Kyle Anderson,90.3,6.2,3.5,2.7,2.7,0.3,NA,NA,NA,NA
Walt Budko,88.3,5.6,4,2.7,1.5,NA,NA,NA,NA,NA
JaMychal Green,85.8,5.8,2.9,2.6,2.6,0.4,NA,NA,NA,NA
George Irvine,85.4,5.5,3.7,3.2,2.5,1.2,0,NA,NA,NA
Robert Covington,84.1,6.1,4,3.1,2.5,2,0.1,NA,NA,NA
Dave Meyers,82.6,5,3.9,2.4,2.2,NA,NA,NA,NA,NA
Albert King,82.2,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1
Fred Hetzel,81.5,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA
