,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2003-04,24,ORL,NBA,29:35,4,9,1,3,4,8,2,2,6,7,9,3,1,1,3,4,8,6.5
2004-05,25,IND,NBA,24:50,2,7,0,1,2,6,0,0,2,2,3,2,1,0,1,4,4,2.3
Career,,,,29:35,4,9,1,3,4,8,2,2,6,7,9,3,1,1,3,4,8,6.5
1 Season,,ORL,NBA,29:35,4,9,1,3,4,8,2,2,6,7,9,3,1,1,3,4,8,6.5
1 Season,,IND,NBA,24:50,2,7,0,1,2,6,0,0,2,2,3,2,1,0,1,4,4,2.3
