Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mike Barrett,,4.9,2.7,-0.1,NA,NA
Walt Kirk,87.5,5,2.3,0.4,NA,NA
Earl Tatum,83.2,4.4,2.6,0.7,0,NA
Mel Riebe,82.9,4.2,2.2,0,NA,NA
Keith Jennings,79.3,4.2,2.9,0.6,NA,NA
Bobby Rascoe,78.2,4.2,1.9,-0.2,NA,NA
Fred VanVleet,74.9,4.7,4.3,0.2,NA,NA
Seth Curry,74.7,4.6,2.4,1.4,0,0
Bruce Hale,73.5,5.1,4.4,-0.4,NA,NA
D'Angelo Russell,72.8,5,1.3,0.4,0,NA
Bryn Forbes,72.3,3.8,2.1,0.1,NA,NA
