Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1969-70,26,WSA,ABA,SG,84,2262,14,0.497,0.16,0.271,NA,NA,5.7,16.2,NA,NA,15,23.3,NA,2,0.7,2.7,0.056
1970-71,27,VIR,ABA,PG,84,2754,11.9,0.52,0.104,0.277,NA,NA,4.5,18.8,NA,NA,18.7,17.5,NA,2.7,2.2,4.9,0.085
1972-73,29,SDA,ABA,SG,19,284,4.2,0.412,0.198,0.347,2.6,5.7,4.1,21.8,NA,NA,25.1,20.8,NA,-0.5,0.3,-0.1,-0.022
Career,NA,,ABA,,187,5300,12.4,0.503,0.137,0.277,2.6,5.7,5,17.9,NA,NA,17.2,20.1,NA,4.2,3.2,7.4,0.067
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"WSA,VIR",ABA,,168,5016,12.8,0.507,0.134,0.274,NA,NA,5.1,17.7,NA,NA,16.8,20.1,NA,4.7,2.9,7.5,0.072
1 season,NA,SDA,ABA,,19,284,4.2,0.412,0.198,0.347,2.6,5.7,4.1,21.8,NA,NA,25.1,20.8,NA,-0.5,0.3,-0.1,-0.022
