Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Troy Daniels,,1.4,1.3,1.1,0.3,0.2,0.2
Keyon Dooling,88.5,1.5,1.4,1.1,0.3,0.3,0
Slick Leonard,84.7,1.5,1.3,1.2,0.4,0.1,-0.1
Steve Henson,83.6,1.2,1.1,1,0.2,0.1,0
Jimmy O'Brien,81.9,1.4,1.4,1,0.2,NA,NA
Isaiah Canaan,79.0,1.4,1.4,0.6,0.5,0.2,0.1
Justin Anderson,78.6,1.9,1.2,1.1,0.4,NA,NA
Mo Layton,76.9,1.9,1.1,1,0.3,0.1,NA
Chris Carr,76.5,1.7,1.1,0.9,0.3,0.2,-0.3
Gerald Green,75.8,1.6,1.3,1.2,0.5,0,-0.4
Howard Komives,74.4,1.5,1.4,1,0.9,0.7,0.3
