Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Troy Daniels,,1.4,1.3,1.1,0.3,0.2,0.2,NA
Steve Henson,83.4,1.2,1.1,1,0.2,0.1,0,0
Jimmy O'Brien,81.9,1.4,1.4,1,0.2,NA,NA,NA
Isaiah Canaan,79.0,1.4,1.4,0.6,0.5,0.2,0.1,NA
Justin Anderson,78.6,1.9,1.2,1.1,0.4,NA,NA,NA
Mo Layton,76.9,1.9,1.1,1,0.3,0.1,NA,NA
Chris Carr,76.5,1.7,1.1,0.9,0.3,0.2,-0.3,NA
Slick Leonard,75.5,1.5,1.3,1.2,0.4,0.1,-0.1,-0.5
Brook Steppe,73.8,1.3,1.1,1,0.7,0.6,NA,NA
Nik Stauskas,73.5,1.4,1.1,0.5,0.5,0.3,NA,NA
Michael Carter-Williams,73.2,1.3,1.2,0.9,0.8,0.8,0.2,NA
