Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jim Paxson,,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3
Rajon Rondo,88.8,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,2.3,1.6,1.1
Donnie Freeman,88.6,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA
DeMar DeRozan,87.3,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA
Kemba Walker,86.9,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA,NA
Michael Redd,86.3,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.6,0.1,-0.1
Kevin Martin,86.2,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,0.1
Dale Ellis,86.1,10.8,9.3,9,7.6,6.4,6.4,4.8,3.2,2.4,1.6,1.5
Tom Gola,86.1,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA
Andy Phillip,86.1,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA
Doug Christie,85.4,8.9,8.7,8.6,7,5.1,4.2,4,1.4,1.4,0.1,-0.3
