Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,22,POR,NBA,SG,3,NA,44,5,16,0.313,0,0,NA,5,16,0.313,0.313,6,6,1,0,4,4,3,2,1,2,2,16
1980-81,23,POR,NBA,SG,1,NA,4,0,3,0,0,0,NA,0,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
1982-83,25,POR,NBA,SG,7,NA,260,68,116,0.586,2,4,0.5,66,112,0.589,0.595,25,33,0.758,4,11,15,18,9,1,15,11,163
1983-84,26,POR,NBA,SG,5,NA,172,40,78,0.513,1,5,0.2,39,73,0.534,0.519,33,40,0.825,11,8,19,12,2,0,9,13,114
1984-85,27,POR,NBA,SG,9,0,212,47,101,0.465,3,10,0.3,44,91,0.484,0.48,19,24,0.792,6,14,20,21,6,0,5,16,116
1985-86,28,POR,NBA,SG,4,0,71,14,37,0.378,2,6,0.333,12,31,0.387,0.405,12,15,0.8,1,3,4,15,3,0,6,12,42
1986-87,29,POR,NBA,SG,4,0,94,13,32,0.406,0,2,0,13,30,0.433,0.406,8,9,0.889,4,5,9,13,5,0,4,8,34
1987-88,30,BOS,NBA,SG,15,0,188,17,59,0.288,0,2,0,17,57,0.298,0.288,16,20,0.8,1,8,9,11,6,2,12,18,50
1989-90,32,BOS,NBA,PG,5,0,62,8,16,0.5,0,1,0,8,15,0.533,0.5,3,4,0.75,0,0,0,7,5,0,3,1,19
Career,NA,,NBA,,53,0,1107,212,458,0.463,8,30,0.267,204,428,0.477,0.472,122,151,0.808,27,53,80,100,38,4,56,81,554
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,POR,NBA,,33,0,857,187,383,0.488,8,27,0.296,179,356,0.503,0.499,103,127,0.811,26,45,71,82,27,2,41,62,485
2 seasons,NA,BOS,NBA,,20,0,250,25,75,0.333,0,3,0,25,72,0.347,0.333,19,24,0.792,1,8,9,18,11,2,15,19,69
