Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Iman Shumpert,,2.4,2,2,1.9,1.7,1.5,1.4,0,NA,NA,NA,NA,NA,NA,NA
John Crotty,83.9,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA,NA,NA,NA
Ledell Eackles,80.8,2.4,2.1,2,1.2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Mike Bratz,79.4,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA,NA,NA,NA,NA
Alec Burks,77.6,3.2,1.9,1.7,1.5,1.5,1.5,1,0.8,NA,NA,NA,NA,NA,NA,NA
Marko Jarić,77.6,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,NA,NA,NA,NA,NA,NA,NA,NA
Willie Green,77.5,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0,-0.1,-0.1,-0.7,NA,NA,NA
Randy Brown,76.2,2.4,1.9,1.8,1.6,1.5,1,0.9,0.4,0.3,0.2,0,-0.8,NA,NA,NA
Jacque Vaughn,75.5,3.5,3,2,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0,-0.4,NA,NA,NA
David Wingate,75.0,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.3,0.2,0.1,0.1,0,-0.1,-0.5
Alonzo Gee,74.9,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA,NA,NA,NA,NA,NA
