Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Iman Shumpert,,2.4,2,2,1.9,1.7,1.5,1.4,0
Nick Young,81.6,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4
Earl Watson,81.4,2.9,2.7,2.3,2.3,2,1.8,1.5,-0.2
Ledell Eackles,80.8,2.4,2.1,2,1.2,1,1,1,NA
Mike Bratz,80.3,2.7,2.1,1.9,1.7,1.5,0.8,0.4,-0.1
Randy Brown,78.9,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3
Alec Burks,77.6,3.2,1.9,1.7,1.5,1.5,1.5,1,0.8
Marko Jarić,77.6,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,NA
C.J. Miles,76.3,2.9,2.6,2.5,1.9,1.9,1.5,0.3,-0.5
Shaun Livingston,75.4,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Alonzo Gee,74.9,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1
