Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Don Martin,,1.6,-0.1,-0.2,NA,NA
Ronald Taylor,80.9,1.7,0,-0.2,NA,NA
Wallace Bryant,60.3,1.3,0,0,NA,NA
Bevo Nordmann,57.3,1.7,0.1,0.1,0,NA
Wang Zhizhi,49.9,1.5,0.2,0.1,0.1,0.1
Mike Novak,47.0,1.8,0.6,-0.2,NA,NA
Garfield Smith,41.7,1,-0.1,-0.2,NA,NA
John Shasky,37.1,1.9,0.7,-0.1,NA,NA
Eric Mobley,35.9,1.3,0.2,-0.4,NA,NA
Josh Harrellson,35.0,1.4,0.7,0,NA,NA
Chris Anstey,27.9,1.9,0.6,0.3,NA,NA
