Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike Flynn,,1.7,0.8,0.3,NA,NA,NA
Tracy Jackson,84.6,1.7,0.7,0,NA,NA,NA
John Jenkins,84.1,1.7,0.9,0.2,0.2,0,-0.1
Lloyd Daniels,83.8,1.8,1.1,0.2,0.1,0,NA
Jordan Hamilton,83.4,1.6,0.8,0.3,0.2,0.1,NA
Patrick McCaw,82.1,1.7,0.6,0.5,NA,NA,NA
Treveon Graham,81.0,1.8,0.5,0.4,NA,NA,NA
Alexey Shved,80.7,2.2,0.8,0.2,NA,NA,NA
Ollie Mack,80.4,1.6,1,-0.1,NA,NA,NA
Bubbles Hawkins,80.1,1.9,0.6,0.3,0.1,NA,NA
Terence Stansbury,78.9,1.5,0.6,0.3,NA,NA,NA
