Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Mike Flynn,,1.7,0.8,0.3
Jordan Hamilton,93.0,1.6,0.8,0.3
Tony Delk,89.0,1.6,0.8,0.4
Chris Carr,88.5,1.7,1.1,0.3
Kevin Stacom,88.4,1.8,0.9,0.6
Sidney Lowe,86.9,1.7,0.5,0.3
Lloyd Daniels,85.9,1.8,1.1,0.2
John Warren,85.9,1.7,0.5,0.3
Tracy Jackson,84.6,1.7,0.7,0
Joe Hassett,84.5,2,0.9,0.5
Avery Johnson,84.4,1.6,0.5,0.3
