Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,20,LAL,NBA,SG,1,1,24:00,5,8,0.625,0,1,0,2,2,1,2,2,4,3,2,2,3,12
1981-82,22,LAL,NBA,SG,1,0,23:00,5,9,0.556,0,0,NA,6,7,0.857,3,4,7,0,0,1,5,16
1982-83,23,LAL,NBA,SG,1,1,33:00,7,16,0.438,0,1,0,3,4,0.75,3,5,16,5,0,7,2,17
1983-84,24,LAL,NBA,PG,1,1,37:00,6,13,0.462,1,3,0.333,2,2,1,4,9,22,3,2,4,3,15
1984-85,25,LAL,NBA,PG,1,1,31:00,7,14,0.5,0,0,NA,7,8,0.875,2,5,15,1,0,3,2,21
1985-86,26,LAL,NBA,PG,1,1,28:00,1,3,0.333,0,1,0,4,4,1,0,4,15,1,0,9,4,6
1986-87,27,LAL,NBA,PG,1,1,34:00,4,10,0.4,0,0,NA,1,2,0.5,1,7,13,4,0,1,2,9
1987-88,28,LAL,NBA,PG,1,1,39:00,4,15,0.267,0,1,0,9,9,1,1,6,19,2,2,8,2,17
1988-89,29,LAL,NBA,PG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989-90,30,LAL,NBA,PG,1,1,25:00,9,15,0.6,4,6,0.667,0,0,NA,1,6,4,0,1,3,1,22
1990-91,31,LAL,NBA,PG,1,1,28:00,7,16,0.438,2,5,0.4,0,0,NA,1,4,3,0,0,3,1,16
1991-92,32,LAL,NBA,,1,1,29:00,9,12,0.75,3,3,1,4,4,1,3,5,9,2,0,7,0,25
Career,NA,,NBA,,11,10,331,64,131,0.489,10,21,0.476,38,42,0.905,21,57,127,21,7,48,25,176
