Season,Team,Lg,Salary
1999-00,Minnesota Timberwolves,NBA,"$1,050,240"
2000-01,Minnesota Timberwolves,NBA,"$1,123,560"
2001-02,Minnesota Timberwolves,NBA,"$1,725,788"
2002-03,Minnesota Timberwolves,NBA,"$2,436,813"
2003-04,San Antonio Spurs,NBA,"$5,600,000"
2004-05,San Antonio Spurs,NBA,"$6,160,000"
2005-06,San Antonio Spurs,NBA,"$6,720,000"
2006-07,Toronto Raptors,NBA,"$7,280,000"
2007-08,Toronto Raptors,NBA,"$7,840,000"
2008-09,Indiana Pacers,NBA,"$8,400,000"
2009-10,Toronto Raptors,NBA,"$1,990,000"
Career,(may be incomplete),,"$50,326,401"
