Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rasho Nesterović,,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0.8,0
Channing Frye,89.8,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8
Alton Lister,86.7,5.5,5.3,4.1,4.1,4,3.8,3.7,1.9,1.7,0.4,0.1,-0.2
Mark Eaton,86.2,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,1.9,0.8,NA
Theo Ratliff,85.2,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,2,0.1,0
Rich Kelley,85.0,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7,0.7,NA
Dave Corzine,84.6,5.2,5.1,4.9,4.7,4.2,4,2.9,2.9,1.4,1.1,0.9,-0.2
Greg Ostertag,84.4,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,NA
Shawn Bradley,84.1,7.4,6.3,5.1,4.2,3.5,3,3,2.9,2.3,2.3,1.9,-1.1
Brendan Haywood,84.0,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1
Olden Polynice,84.0,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,2,1.6,1.5,1.5
