Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Wallace Bryant,,1.3,0,0,NA,NA,NA
Nate Bowman,65.5,1.3,0.1,0,0,0,-0.3
Ronald Taylor,62.4,1.7,0,-0.2,NA,NA,NA
Luke Witte,61.5,1,0.1,0.1,NA,NA,NA
Don Martin,60.3,1.6,-0.1,-0.2,NA,NA,NA
Bevo Nordmann,57.9,1.7,0.1,0.1,0,NA,NA
Wang Zhizhi,57.3,1.5,0.2,0.1,0.1,0.1,NA
Mike Peplowski,56.2,0.9,0.1,0,NA,NA,NA
Eric Mobley,54.3,1.3,0.2,-0.4,NA,NA,NA
Daniel Santiago,52.7,1.2,0.6,0,0,NA,NA
Josh Harrellson,52.1,1.4,0.7,0,NA,NA,NA
