Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Željko Rebrača,,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
Tarik Black,89.0,3.1,2.4,1.5,0.7,NA,NA,NA,NA
Stanley Roberts,88.0,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Alexis Ajinça,85.7,3.2,2.1,1,1,0.4,0,-0.1,NA
Cole Aldrich,82.5,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0
Salah Mejri,81.7,3,2.7,1.3,1.1,NA,NA,NA,NA
Travis Knight,81.4,3.3,3,1.1,0.6,0.2,-0.1,-0.3,NA
Reggie Harding,78.3,3.1,2.6,1.6,0,NA,NA,NA,NA
Willy Hernangómez,76.7,3.4,2.6,1.8,NA,NA,NA,NA,NA
Bob Hopkins,75.8,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Ekpe Udoh,75.7,3.2,2.7,2.1,1.6,0.7,0.3,0,NA
