Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Darren Daye,,3.8,2.4,1.3,1.2,0.6
Jason Kapono,89.3,4.2,1.9,1.3,1.2,0.5
George Johnson,88.3,3.8,2.5,2.2,1,0.6
George Lynch,88.3,3.9,2.5,1.7,1.5,0.9
Toby Kimball,87.7,3.2,2.5,1.2,1.2,0.4
Rondae Hollis-Jefferson,87.1,4.1,2.6,1.2,1.2,NA
Matt Barnes,86.9,3.7,2.3,1,0.7,0.4
Al Harrington,86.8,3.9,2.6,1.2,1,-0.2
Anthony Bonner,86.3,4.1,2.4,1.8,1.6,0.7
Trey Lyles,86.3,3.9,2.3,1.2,0.8,NA
Greg Kelser,85.9,3.9,2.5,1.4,0.8,0
