Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Darren Daye,,3.8,2.4,1.3,1.2,0.6,NA,NA
Rondae Hollis-Jefferson,87.1,4.1,2.6,1.2,1.2,NA,NA,NA
Greg Kelser,86.5,3.9,2.5,1.4,0.8,0.1,0,NA
Trey Lyles,86.3,3.9,2.3,1.2,0.8,NA,NA,NA
Anthony Bonner,86.1,4.1,2.4,1.8,1.6,0.7,0,NA
James Singleton,85.7,3,2.3,1.1,1,0.7,NA,NA
Mark Alarie,85.2,3.1,2.2,1.5,0.9,0.6,NA,NA
George Trapp,83.9,3.5,2.4,1.5,1,0.1,-0.2,NA
Ime Udoka,83.9,3.9,2.8,1.3,0.8,0,0,0
Bobby Portis,83.2,3.5,2.4,1.6,1.5,NA,NA,NA
Joey Graham,82.2,3,2.2,1.3,1.1,0.3,0,NA
