,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2006-07,20,WAS,NBA,PF,2,25,.667,10.3,1.000,.333,.167,.000,.500,.000,.667,1.000,1.000,,.333,,.250,.000,0,,,,0,0
2007-08,21,WAS,NBA,PF,6,89,.429,8.1,.952,.381,.333,.048,.190,.048,.450,.625,.429,.000,.250,.000,.556,.143,3,,.000,,0,0
2012-13,26,BRK,NBA,C,7,138,.500,9.1,1.000,.362,.207,.172,.259,.000,.500,.571,.750,.200,.400,,.552,.069,4,,,,0,0
2013-14,27,BRK,NBA,PF,12,172,.448,5.7,.966,.603,.207,.086,.069,.034,.464,.629,.333,.000,.000,.000,.500,.103,3,,.500,.000,0,0
Career,,,NBA,,27,424,.476,7.6,.979,.462,.224,.112,.182,.021,.486,.621,.531,.125,.308,.000,.515,.091,10,,.333,.000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BRK,NBA,,19,310,.474,7.4,.983,.483,.207,.129,.164,.017,.482,.607,.542,.133,.316,.000,.527,.086,7,,.500,.000,0,0
2 seasons,,WAS,NBA,,8,114,.481,8.6,.963,.370,.296,.037,.259,.037,.500,.700,.500,.000,.286,.000,.462,.111,3,,.000,,0,0
