Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Andray Blatche,,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Kenny Walker,88.9,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Terry Catledge,88.8,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA
Michael Kidd-Gilchrist,88.4,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA
Stromile Swift,88.3,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA
Willie Norwood,87.7,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA,NA
Paul Griffin,87.3,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA
Len Chappell,87.0,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Earl Lloyd,86.8,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA
Kenny Gattison,86.3,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0,NA
Donald Royal,86.2,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA
