Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Tom McMillen,,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,1.2,0.8,NA,NA,NA,NA
Keith Erickson,89.0,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,NA,NA,NA
Dante Cunningham,88.6,3.5,3.4,3,2.9,2.4,2.1,2,1.9,1.9,1.6,NA,NA,NA,NA,NA
Tom Hawkins,88.4,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1,NA,NA,NA,NA,NA
Fred Roberts,87.7,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2,0,NA,NA
Charles Jones,87.1,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0.6,0.2,0.2,0,0
Lorenzen Wright,86.9,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7,0,-0.1,NA,NA
Scott Williams,86.8,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,0.1,-0.1
Reggie Evans,85.7,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,1.2,0.2,NA,NA
Vladimir Radmanović,85.5,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0,NA,NA,NA
Othella Harrington,85.3,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0,NA,NA,NA
