Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Tom McMillen,,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,1.2,0.8
Dante Cunningham,88.6,3.5,3.4,3,2.9,2.4,2.1,2,1.9,1.9,1.6,NA
Tom Hawkins,88.4,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1,NA
Reggie Evans,87.2,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.3,1.3,0.2
Fred Roberts,87.1,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.4,0.2
Lorenzen Wright,87.0,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7
Charles Jones,86.5,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0
Othella Harrington,85.4,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0
Dwight Jones,85.3,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA
Vladimir Radmanović,85.3,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0
Keith Erickson,84.9,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,0.5,0.2,-0.2
