Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mario Chalmers,,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA,NA,NA
Allen Leavell,92.3,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA,NA
Sherman Douglas,91.4,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,0.2,-0.1
Walt Hazzard,88.6,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA,NA
Austin Carr,88.0,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA
Jim Barnett,87.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0,NA
Greg Anthony,87.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA
Eric Gordon,86.4,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA
Luke Ridnour,86.3,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Chucky Atkins,86.0,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,NA
Johnny Davis,85.6,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA,NA
