Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mario Chalmers,,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6
Sherman Douglas,93.0,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1
Jarrett Jack,92.6,5.6,4.8,4.8,4.1,3.8,3.2,2.4,2.3,1.2
Allen Leavell,92.5,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6
Greg Anthony,92.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2
Spud Webb,92.0,5.4,5.1,4.5,4.1,3.9,3.5,2.3,2.2,1.2
Ricky Sobers,89.6,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1
John Paxson,89.3,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,0.6
Austin Carr,88.8,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1
Johnny Davis,88.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5
Adrian Smith,88.5,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,0.8
