Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kyle O'Quinn,,4.8,3.9,2.5,1.6,1.6,1.4,1
Glen Davis,93.5,4.9,3.7,2.5,2,1.7,1.6,0.8
David Benoit,93.1,4.6,3.9,2.3,2,1.6,1.6,0.7
Donald Royal,88.1,5.1,3.8,3.6,2.3,1.6,1.3,1
George Lynch,86.8,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Kwame Brown,86.3,4.9,3.6,2.5,1.9,0.8,0.6,0.6
Andrea Bargnani,86.2,4.2,3.9,2.5,2.2,1.9,1.4,0.1
Derek Strong,86.1,4.4,4.1,2.4,2.1,1.9,1.5,0
Etan Thomas,85.5,4.5,2.7,2.5,1.6,1.6,1.3,0.1
Jeff Cook,85.2,4.5,3.7,2.4,2.3,2.2,2,0.6
Howard Porter,84.2,4.1,3.9,2.7,2.4,2.4,1.1,1
