Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kyle O'Quinn,,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
David Benoit,93.1,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA
Glen Davis,89.6,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Derek Strong,86.5,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0,NA
Donald Royal,86.4,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA
Etan Thomas,84.8,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA
Jeff Cook,84.7,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA
Mike O'Koren,84.4,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA,NA,NA
Howard Porter,84.2,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA
John Brown,83.9,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA,NA
Michael Beasley,83.6,4.6,3.4,2.4,1.8,1.7,1.6,1,0.5,0.2,-0.1,-1.5
