Season,Team,Lg,Salary
1997-98,Boston Celtics,NBA,"$2,384,640"
1998-99,Denver Nuggets,NBA,"$2,742,000"
1999-00,Orlando Magic,NBA,"$3,100,080"
2000-01,Minnesota Timberwolves,NBA,"$2,250,000"
2001-02,Minnesota Timberwolves,NBA,"$2,475,000"
2002-03,Detroit Pistons,NBA,"$4,546,000"
2003-04,Detroit Pistons,NBA,"$5,000,600"
2004-05,Detroit Pistons,NBA,"$5,455,200"
2005-06,Detroit Pistons,NBA,"$5,909,800"
2006-07,Detroit Pistons,NBA,"$6,364,400"
2007-08,Detroit Pistons,NBA,"$10,000,000"
2008-09,Denver Nuggets,NBA,"$11,050,000"
2009-10,Denver Nuggets,NBA,"$12,100,000"
2010-11,New York Knicks,NBA,"$13,150,000"
2011-12,New York Knicks,NBA,"$12,199,968"
2011-12,Los Angeles Clippers,NBA,"$2,000,032"
2012-13,Los Angeles Clippers,NBA,"$4,000,000"
2013-14,Detroit Pistons,NBA,"$2,500,000"
Career,(may be incomplete),,"$107,227,720"
