Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Chauncey Billups,,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8,7.6,3.7,3,2.3,1.7,1.3,0.1,-0.3,NA
Dwyane Wade,87.4,14.7,14.4,13,12.8,11,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.4,3.3,2.4,1.1,NA,NA
George Gervin,86.7,12,11.4,10.7,10.6,10.5,10.5,10,9.4,9.3,7.3,5.5,4.6,3,1.6,NA,NA,NA,NA
Steve Nash,86.5,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3,1,0.7,0.1
Gary Payton,85.2,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,5.4,4.1,3.9,3.4,1.3,NA
Clyde Drexler,84.8,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.8,6.7,6.7,6,2.4,NA,NA,NA
Walt Frazier,83.4,15.6,15,14.5,13,12.7,10.9,10.8,6.8,6.1,4.6,3.5,0.2,0,NA,NA,NA,NA,NA
Russell Westbrook,83.4,14,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,1.9,NA,NA,NA,NA,NA,NA,NA
Ray Allen,79.5,13.7,11.1,10.7,10.1,10,9.7,9.5,9.1,8.9,7.9,7,6.9,6.3,5.4,5.2,4.9,4.7,4.1
Allen Iverson,79.1,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,NA,NA,NA,NA
Kevin Johnson,78.5,12.7,12.2,11.7,11.6,10,8.7,8.2,5.1,4.8,4,3.5,0.5,NA,NA,NA,NA,NA,NA
