Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
George Mikan,,23.4,21.1,20.9,14.6,14.4,12.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neil Johnston,78.0,18.3,15.4,15.3,13.9,13.7,11.3,3.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ed Macauley,56.2,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob McAdoo,53.4,17.8,15.3,12.3,10.9,9.6,5.8,3.8,3.5,2.9,2.7,2,1.5,0.7,0.2,NA,NA,NA,NA,NA
David Robinson,51.8,20,18.3,17.5,17,15.1,13.9,13.8,13.2,12.7,12.1,10.1,8.4,6,0.7,NA,NA,NA,NA,NA
Artis Gilmore,48.1,19.8,18.5,16.2,15.1,12.7,12.7,12.3,12.2,12.1,11.5,11,10.5,7.1,6.7,5.6,4.9,0.9,NA,NA
Bill Russell,47.5,17.3,16.9,15.5,13.8,13.5,13,12.9,12.2,11.7,11.3,10.9,8.2,6.2,NA,NA,NA,NA,NA,NA
Shaquille O'Neal,47.2,18.6,16.9,14.9,14,13.2,13.2,11,10.4,10.2,9.9,9,8,7.8,6.9,6.2,3.1,2.8,2.8,2.7
Zelmo Beaty,45.7,16,15.1,11.8,10.8,10.3,9,8.4,7.7,5.2,4.8,4.5,2.3,NA,NA,NA,NA,NA,NA,NA
Willis Reed,44.6,14.7,14.6,10.6,10,7.9,5.8,5.5,3.6,1.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walt Bellamy,43.3,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,NA,NA,NA,NA,NA
