Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,24,MNL,BAA,C,10,NA,NA,NA,NA,0.454,NA,NA,0.802,NA,NA,NA,NA
1949-50,25,MNL,NBA,C,12,NA,NA,NA,NA,0.383,NA,NA,0.788,NA,NA,NA,NA
1950-51,26,MNL,NBA,C,7,NA,NA,NA,NA,0.408,NA,NA,0.8,NA,NA,NA,NA
1951-52,27,MNL,NBA,C,13,NA,553,6.4,17,0.379,7.1,9,0.79,13.5,2.3,4.1,20
1952-53,28,MNL,NBA,C,12,NA,463,6.1,16.6,0.366,6.4,8.7,0.732,14.4,1.8,4.4,18.5
1953-54,29,MNL,NBA,C,13,NA,424,7.4,16.1,0.458,6.6,8.2,0.813,14.5,2.1,4.8,21.4
1955-56,31,MNL,NBA,C,3,NA,60,7.8,21,0.371,6,7.8,0.769,16.8,3,8.4,21.6
Career,NA,,TOT,,70,NA,1500,6.6,16.8,0.404,6.7,8.6,0.786,14.2,2.1,4.5,20
,NA,,NBA,,60,NA,1500,6.6,16.8,0.394,6.7,8.6,0.783,14.2,2.1,4.5,20
,NA,,BAA,,10,NA,NA,NA,NA,0.454,NA,NA,0.802,NA,NA,NA,NA
