Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
George Mikan,,23.4,21.1,20.9,14.6,14.4,12.7,1.6
Kareem Abdul-Jabbar,82.9,25.4,22.3,21.9,18.4,17,13.8,12.9
Artis Gilmore,79.4,19.8,18.5,16.2,15.1,12.7,12.2,11.5
David Robinson,78.7,20,18.3,17.5,17,15.1,13.9,13.2
Neil Johnston,78.5,18.3,15.4,15.3,13.9,13.7,11.3,3.4
Wilt Chamberlain,76.7,25,23.1,21.4,20.9,18.8,17,15.1
Bill Russell,67.1,15.5,13.8,13.5,13,12.9,11.3,6.2
Ed Macauley,64.7,15.9,14.6,14.5,13.8,10.6,8.9,7.8
Walt Bellamy,62.3,16.3,14.4,13.7,12.1,11.1,9.5,8.8
Dan Issel,61.8,15.8,13.8,13.5,12.5,10.9,10.7,9.3
Bob McAdoo,60.4,17.8,15.3,12.3,10.9,9.6,5.8,3.8
