Season,Team,Lg,Salary
1993-94,Dallas Mavericks,NBA,"$275,000"
1994-95,Dallas Mavericks,NBA,"$769,000"
1995-96,Dallas Mavericks,NBA,"$1,425,000"
1996-97,Toronto Raptors,NBA,"$1,581,000"
1997-98,Toronto Raptors,NBA,"$1,886,538"
1998-99,Boston Celtics,NBA,"$2,381,000"
1999-00,Denver Nuggets,NBA,"$2,531,250"
2000-01,Washington Wizards,NBA,"$2,812,500"
2001-02,Washington Wizards,NBA,"$1,500,000"
2002-03,Dallas Mavericks,NBA,"$1,030,000"
2003-04,Golden State Warriors,NBA,"$1,070,000"
Career,(may be incomplete),,"$17,261,288"
