Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kevin Joyce,,3,0.6,-0.7,NA,NA,NA
Jerry Harkness,74.5,2.9,0.5,0,NA,NA,NA
Joe DePre,54.4,3.4,0,-0.3,NA,NA,NA
Danuel House,53.3,2.3,0.6,0,NA,NA,NA
Keith Herron,51.5,3.5,0,-0.3,NA,NA,NA
Negele Knight,49.4,3.2,0.6,0.5,0.1,-0.1,-0.2
Paul Thompson,48.8,3.7,1.1,0.1,NA,NA,NA
Harold Ellis,48.7,2.8,0.9,0.9,NA,NA,NA
Kenny Rollins,43.6,2.6,1.5,0.1,NA,NA,NA
Ticky Burden,43.3,2.6,0,0,NA,NA,NA
Jim Thomas,42.9,3.5,1.6,0,-0.1,NA,NA
