,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,INA,ABA,,9,,1,,,,6,8,,,,,,,,,23
1974-75,23,INA,ABA,,12,,1,,,,8,10,,,,,,,,,27
1975-76,24,TOT,ABA,,8,,1,,,,6,7,,,,,,,,,18
1975-76,24,SDS,ABA,,7,,1,,,,6,7,,,,,,,,,18
1975-76,24,KEN,ABA,,8,14,1,,8,,4,6,,,7,8,,,,6,16
Career,,,,,12,,1,,,,8,10,,,,,,,,,27
2 Seasons,,INA,ABA,,12,,1,,,,8,10,,,,,,,,,27
1 Season,,KEN,ABA,,8,14,1,,8,,4,6,,,7,8,,,,6,16
1 Season,,SDS,ABA,,7,,1,,,,6,7,,,,,,,,,18
