Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,22,SYR,NBA,SF,5,NA,17.6,1.2,5.6,0.214,1.6,2.4,0.667,4,0.2,0.6,4
1957-58,23,DET,NBA,SF,7,NA,19.1,2.1,6.1,0.349,1.7,2.3,0.75,5.1,0.4,2.9,6
1958-59,24,DET,NBA,SF,3,NA,12,1,4.7,0.214,2,2.3,0.857,2.7,1,2.3,4
Career,NA,,NBA,,15,NA,17.2,1.6,5.7,0.282,1.7,2.3,0.743,4.3,0.5,2,4.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,10,NA,17,1.8,5.7,0.316,1.8,2.3,0.783,4.4,0.6,2.7,5.4
1 season,NA,SYR,NBA,,5,NA,17.6,1.2,5.6,0.214,1.6,2.4,0.667,4,0.2,0.6,4
