Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Joe Holup,,2.1,1.8,0.3,NA,NA
Sam Pellom,91.6,2.2,1.8,0.7,0,NA
Jim Palmer,88.0,2.4,1.9,0.2,NA,NA
Jon Brockman,86.1,1.9,1.7,0.1,NA,NA
Cheick Diallo,84.3,2.6,1.9,0.5,NA,NA
Alaa Abdelnaby,84.0,2.1,2,0.5,0.3,-0.1
Donnell Harvey,83.3,2,1.8,0.7,0.2,0.1
Jim Bradley,81.2,2.3,1.3,0.1,NA,NA
Kenny Battle,81.1,1.9,1.3,0.3,0.1,NA
Juan Hernangómez,80.3,3,1.8,0.4,NA,NA
Cliff Pondexter,78.5,2.2,1.5,1,NA,NA
