Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Gene Banks,,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
Warren Davis,93.6,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA
Chandler Parsons,87.8,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
M.L. Carr,85.9,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Mel Hutchins,85.7,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA
Trooper Washington,85.5,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Curtis Rowe,84.8,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA
Carl Landry,83.9,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA
Curtis Perry,83.9,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Jim Pollard,83.1,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA
Wil Jones,81.9,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA
