Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gene Banks,,7.9,6.2,5.6,4.3,3.6,3.5
Nicolas Batum,96.3,7.9,6.6,5.8,4.8,3.7,3.5
Carl Landry,95.7,7.7,6.2,5.9,4.1,3.7,2.9
Warren Davis,93.6,8.1,5.8,5.7,3.4,3.4,3.2
Tom Chambers,92.9,7.4,6.1,5.9,4.8,4.3,3.3
Thurl Bailey,91.8,6.8,6.5,5.4,4,3.6,3.1
Mike Miller,91.8,7.4,7,5.3,4.5,4,3.9
Keith Van Horn,90.5,6.5,6.3,5.5,4.8,3.7,2.8
Derrick Favors,90.4,8.3,7.1,5.1,4.4,3,2.9
Ed Davis,90.0,6.7,6.3,5.4,4,3.9,2.6
Kenneth Faried,90.0,7.8,6.5,5.6,5.5,4.6,4.5
