Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Vin Baker,,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,0.1,-0.4,NA,NA
Jamal Mashburn,86.5,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2,NA,NA,NA,NA
Kelly Tripucka,84.8,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2,1.7,NA,NA,NA,NA,NA
Cedric Ceballos,84.4,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,1.3,0.4,NA,NA,NA,NA
Frank Ramsey,84.2,10,7.3,6.5,5.9,5.3,4,3.6,3.3,3.2,NA,NA,NA,NA,NA,NA
Bryon Russell,83.9,8.8,7.4,6.8,6,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0,NA,NA
Donyell Marshall,83.5,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.8,0.3,0.3
Charles Smith,83.3,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA,NA,NA,NA,NA
Sidney Wicks,83.0,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA,NA,NA,NA,NA
Danny Manning,82.9,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.8,0.7,0.4,0.2
Josh Smith,82.8,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0,0,NA,NA
