Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,MIL,NBA,PF,1,0,11:00,0,2,0,0,0,NA,2,4,0.5,2,2,0,0,1,1,1,2
1995-96,24,MIL,NBA,PF,1,0,14:00,2,5,0.4,0,0,NA,2,2,1,1,2,2,1,0,0,4,6
1996-97,25,MIL,NBA,PF,1,0,24:00,8,12,0.667,0,0,NA,3,4,0.75,7,12,1,0,0,0,2,19
1997-98,26,SEA,NBA,C,1,0,21:00,3,12,0.25,0,0,NA,2,2,1,6,8,0,1,0,0,1,8
Career,NA,,NBA,,4,0,70,13,31,0.419,0,0,NA,9,12,0.75,16,24,3,2,1,1,8,35
