Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Tyler Hansbrough,,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA,NA
Hakim Warrick,94.2,4.7,4,3.7,3.4,3.3,0.8,0.5,0,NA,NA,NA
Jan van Breda Kolff,91.8,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA,NA
Terrence Ross,91.1,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA,NA
Dave Stallworth,90.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA,NA
Popeye Jones,89.3,4.3,4.2,3.7,3.6,3.6,1.2,0.6,0.5,0.3,0,0
Alvin Scott,87.3,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA,NA,NA
Len Chappell,87.2,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA
Terry Catledge,86.2,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA
Willie Norwood,85.5,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA,NA,NA
Ron Anderson,85.1,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA
