Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tyler Hansbrough,,4.4,3.9,3.8,3.4,3,1,0.7
Jan van Breda Kolff,94.7,4.5,3.9,3.8,3.6,3.4,1.2,0.6
Hakim Warrick,94.2,4.7,4,3.7,3.4,3.3,0.8,0.5
Vladimir Radmanović,91.5,4.2,3.8,3.7,3.5,2.7,2.1,0.8
Alvin Scott,91.2,4.4,4.3,4,3.8,2.9,1.7,0.8
Terrence Ross,91.1,4.3,4.2,3.6,3.5,2.4,0.9,0.3
Dave Stallworth,90.9,3.9,3.8,3.7,3.4,2.8,1.7,1.1
Ron Anderson,90.5,4.4,4.1,3.8,3.1,2.5,1.5,0.3
Terry Catledge,86.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6
Malik Rose,85.9,5.2,4.4,3.4,3.3,2.6,1.1,0.4
Frank Brickowski,85.6,4.7,4.1,3.8,3.6,1.1,1,0.4
