,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,25,IND,NBA,PF,5,164,.333,9.3,1.000,.417,.150,.100,.333,.000,.333,.320,.444,.333,.300,,.700,.050,3,,,,0,0
2011-12,26,IND,NBA,PF,11,164,.340,9.3,1.000,.320,.200,.180,.300,.000,.340,.438,.100,.333,.400,,.882,.060,3,,,,0,0
2012-13,27,IND,NBA,PF,19,241,.419,4.1,1.000,.597,.274,.065,.065,.000,.419,.541,.294,.250,.000,,.462,.097,6,,,,0,0
2013-14,28,TOR,NBA,PF,3,29,.333,1.7,1.000,1.000,.000,.000,.000,.000,.333,.333,,,,,1.000,.333,1,,,,0,0
2014-15,29,TOR,NBA,PF,4,48,.200,2.2,1.000,.800,.200,.000,.000,.000,.200,.250,.000,,,,1.000,.000,0,,,,0,0
2015-16,30,CHO,NBA,PF,2,6,,,,,,,,,,,,,,,,,0,,,,0,0
Career,,,NBA,,44,652,.361,7.2,1.000,.472,.206,.106,.217,.000,.361,.435,.270,.316,.308,,.662,.072,13,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,35,569,.366,7.4,1.000,.453,.209,.110,.227,.000,.366,.449,.278,.316,.308,,.651,.070,12,,,,0,0
2 seasons,,TOR,NBA,,7,77,.250,2.0,1.000,.875,.125,.000,.000,.000,.250,.286,.000,,,,1.000,.125,1,,,,0,0
1 season,,CHO,NBA,,2,6,,,,,,,,,,,,,,,,,0,,,,0,0
