Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jae Crowder,,7.3,6.7,4.4,3.9,2.6,2.3,1.5
Bob Gross,93.9,7.4,7.1,4.4,3.8,3.1,2.9,1.7
Antoine Walker,91.0,6.7,6.6,5,4.7,2.6,2.6,1.7
Juwan Howard,89.6,7,5.6,4.6,4.4,2.8,2.8,1.9
Chuck Hayes,88.3,6.4,6.3,4.4,3.6,2.4,1.6,0.6
Joe Caldwell,88.0,7.9,6.7,3.7,3.3,2.3,2,0.3
Ed Davis,87.8,6.7,6.3,5.4,4,3.9,2.6,1.7
Don Nelson,87.2,7.5,6.1,5.4,3.3,2.3,2.1,0.4
Hedo Türkoğlu,86.9,7.6,6.7,5.2,4.9,3.4,2.8,2.6
Mel Hutchins,86.8,6.9,5.8,4.4,3.9,3.8,2.8,0.3
Robert Horry,86.7,6.6,5.9,4.9,4.2,3.6,2.9,1.7
