Season,Team,Lg,Salary
2012-13,Dallas Mavericks,NBA,"$600,491"
2013-14,Dallas Mavericks,NBA,"$788,872"
2014-15,Boston Celtics,NBA,"$915,243"
2015-16,Boston Celtics,NBA,"$6,000,000"
2016-17,Boston Celtics,NBA,"$6,286,408"
2017-18,Utah Jazz,NBA,"$6,796,117"
2018-19,Utah Jazz,NBA,"$7,305,825"
Career,(may be incomplete),,"$28,692,956"
