Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jae Crowder,,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA,NA
Bob Gross,93.3,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,NA,NA,NA
DeMarre Carroll,87.2,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1,NA
Curtis Perry,86.9,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA,NA
Mel Hutchins,86.8,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA
Chuck Hayes,85.3,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0
Roy Hinson,84.6,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA,NA
Jay Vincent,83.2,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA,NA
Chandler Parsons,83.0,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA,NA
Walter Simon,82.3,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA
Jim Brewer,81.7,7.9,5.8,4.4,2.6,2.2,2,1.8,1.3,1.3,NA,NA
