Season,Team,Lg,Salary
1997-98,Portland Trail Blazers,NBA,"$242,000"
1999-00,Toronto Raptors,NBA,"$1,925,000"
2000-01,Toronto Raptors,NBA,"$2,100,000"
2001-02,Toronto Raptors,NBA,"$5,350,000"
2002-03,Toronto Raptors,NBA,"$5,350,000"
2003-04,Toronto Raptors,NBA,"$5,500,000"
2004-05,Toronto Raptors,NBA,"$5,850,000"
2005-06,Toronto Raptors,NBA,"$6,300,000"
2006-07,Toronto Raptors,NBA,"$4,483,516"
2006-07,Los Angeles Clippers,NBA,"$103,992"
2007-08,Toronto Raptors,NBA,"$4,516,484"
Career,(may be incomplete),,"$41,720,992"
