Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kenny Fields,,2.8,0.7,0.7,0,NA
Dennis Hamilton,93.8,2.8,0.7,0.5,0,NA
Dick Schulz,92.7,2.9,0.8,0.6,0,NA
Charles Jones,91.0,2.9,0.9,0.6,0.1,NA
Bob Quick,85.9,2.6,0.8,0.6,0.3,NA
Walter Herrmann,84.6,2.4,1,0.7,NA,NA
Derrick Jones,82.0,2.9,1.1,0.4,NA,NA
Grady Lewis,80.6,2.4,1.1,0.8,NA,NA
Jeff Adrien,79.0,2.7,1,0.4,0.2,0.1
Sam Young,78.5,2.9,1.2,0.9,0.2,NA
Larry Spriggs,76.0,2.6,0.5,0.3,0.1,0
