Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kenny Fields,,2.8,0.7,0.7,0
Dennis Hamilton,93.8,2.8,0.7,0.5,0
Dick Schulz,92.7,2.9,0.8,0.6,0
Charles Jones,91.0,2.9,0.9,0.6,0.1
Bob Quick,85.9,2.6,0.8,0.6,0.3
Darius Miller,85.4,3,0.8,0.5,-0.1
Walter Herrmann,84.6,2.4,1,0.7,NA
DeMarre Carroll,82.8,3.1,0.5,0.5,0.1
Derrick Jones,82.0,2.9,1.1,0.4,NA
Grady Lewis,80.6,2.4,1.1,0.8,NA
Barney Cable,80.0,3.3,0.7,0.4,0.1
