Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1970-71,22,KEN,ABA,NA,11,NA,6.4,1.7,3.9,0.442,0,0,NA,1.7,3.9,0.442,0.442,0.5,0.9,0.5,0.8,1.5,2.4,0.5,0.6,1.2,3.9
Career,NA,,ABA,NA,11,NA,6.4,1.7,3.9,0.442,0,0,NA,1.7,3.9,0.442,0.442,0.5,0.9,0.5,0.8,1.5,2.4,0.5,0.6,1.2,3.9
