Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,23,HOU,NBA,PF,58,NA,1075,128,250,0.512,47,74,0.635,81,171,252,76,37,20,NA,162,303
1974-75,24,NOJ,NBA,PF,77,NA,2176,253,568,0.445,116,166,0.699,189,360,549,105,82,37,NA,277,622
1975-76,25,NOJ,NBA,PF,67,NA,1850,216,479,0.451,59,89,0.663,124,295,419,87,56,30,NA,227,491
1976-77,26,NOJ,NBA,PF,77,NA,2369,290,628,0.462,82,112,0.732,149,399,548,103,62,32,NA,280,662
1977-78,27,GSW,NBA,PF,72,NA,1801,212,446,0.475,40,55,0.727,117,259,376,100,66,23,95,253,464
1978-79,28,HOU,NBA,PF,6,NA,39,5,7,0.714,1,1,1,1,6,7,1,2,0,0,11,11
Career,NA,,NBA,,357,NA,9310,1104,2378,0.464,345,497,0.694,661,1490,2151,472,305,142,95,1210,2553
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NOJ,NBA,,221,NA,6395,759,1675,0.453,257,367,0.7,462,1054,1516,295,200,99,NA,784,1775
1 season,NA,GSW,NBA,,72,NA,1801,212,446,0.475,40,55,0.727,117,259,376,100,66,23,95,253,464
2 seasons,NA,HOU,NBA,,64,NA,1114,133,257,0.518,48,75,0.64,82,177,259,77,39,20,0,173,314
