Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,23,HOU,NBA,PF,58,NA,1075,5.4,10.5,0.512,2,3.1,0.635,3.4,7.2,10.6,3.2,1.6,0.8,NA,6.8,12.7,NA,NA,100
1974-75,24,NOJ,NBA,PF,77,NA,2176,5.1,11.5,0.445,2.3,3.3,0.699,3.8,7.3,11.1,2.1,1.7,0.7,NA,5.6,12.5,NA,NA,98
1975-76,25,NOJ,NBA,PF,67,NA,1850,5.3,11.6,0.451,1.4,2.2,0.663,3,7.2,10.2,2.1,1.4,0.7,NA,5.5,11.9,NA,NA,97
1976-77,26,NOJ,NBA,PF,77,NA,2369,5.5,11.9,0.462,1.5,2.1,0.732,2.8,7.5,10.4,1.9,1.2,0.6,NA,5.3,12.5,NA,NA,99
1977-78,27,GSW,NBA,PF,72,NA,1801,5.3,11.2,0.475,1,1.4,0.727,2.9,6.5,9.5,2.5,1.7,0.6,2.4,6.4,11.7,NA,97,100
1978-79,28,HOU,NBA,PF,6,NA,39,5.9,8.3,0.714,1.2,1.2,1,1.2,7.1,8.3,1.2,2.4,0,0,13,13,NA,159,105
Career,NA,,NBA,,357,NA,9310,5.3,11.4,0.464,1.7,2.4,0.694,3.2,7.2,10.3,2.3,1.5,0.7,0.5,5.8,12.3,NA,97,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NOJ,NBA,,221,NA,6395,5.3,11.7,0.453,1.8,2.6,0.7,3.2,7.3,10.6,2.1,1.4,0.7,NA,5.5,12.4,NA,NA,98
1 season,NA,GSW,NBA,,72,NA,1801,5.3,11.2,0.475,1,1.4,0.727,2.9,6.5,9.5,2.5,1.7,0.6,2.4,6.4,11.7,NA,97,100
2 seasons,NA,HOU,NBA,,64,NA,1114,5.4,10.4,0.518,2,3,0.64,3.3,7.2,10.5,3.1,1.6,0.8,0,7,12.8,NA,159,100
