Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1973-74,23,HOU,NBA,PF,58,1075,11.3,0.536,0.296,8.1,16.8,12.5,9.1,1.6,1,NA,NA,NA,0.8,0.8,1.7,0.074,NA,-1.5,0.1,-1.4,0.2
1974-75,24,NOJ,NBA,PF,77,2176,10.8,0.485,0.292,8.4,17.1,12.6,6.7,1.7,0.9,NA,NA,NA,0.5,2.1,2.6,0.057,NA,-2.2,0,-2.2,-0.1
1975-76,25,NOJ,NBA,PF,67,1850,9.7,0.474,0.186,6.6,16,11.3,6.5,1.4,0.9,NA,NA,NA,0.4,2.1,2.5,0.065,NA,-2.1,0.4,-1.7,0.1
1976-77,26,NOJ,NBA,PF,77,2369,9.6,0.489,0.178,6.2,16.1,11.2,5.8,1.2,0.7,NA,NA,NA,0.7,2.6,3.2,0.065,NA,-2.4,0.2,-2.2,-0.1
1977-78,27,GSW,NBA,PF,72,1801,9.1,0.493,0.123,6.5,14.9,10.6,7.1,1.7,0.7,16.8,12.3,NA,0.6,2.1,2.7,0.071,NA,-2.7,0.6,-2.2,-0.1
1978-79,28,HOU,NBA,PF,6,39,10.9,0.739,0.143,2.8,16.5,9.8,3.2,2.4,0,0,7.5,NA,0.1,0,0.1,0.169,NA,-3.7,0.4,-3.2,0
Career,NA,,NBA,,357,9310,10,0.492,0.209,7.1,16.2,11.6,6.8,1.5,0.8,16.6,12.2,NA,3,9.8,12.8,0.066,NA,-2.3,0.2,-2,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NOJ,NBA,,221,6395,10.1,0.483,0.219,7.1,16.4,11.7,6.3,1.4,0.8,NA,NA,NA,1.5,6.8,8.3,0.062,NA,-2.2,0.2,-2.1,-0.1
1 season,NA,GSW,NBA,,72,1801,9.1,0.493,0.123,6.5,14.9,10.6,7.1,1.7,0.7,16.8,12.3,NA,0.6,2.1,2.7,0.071,NA,-2.7,0.6,-2.2,-0.1
2 seasons,NA,HOU,NBA,,64,1114,11.2,0.541,0.292,7.9,16.8,12.4,8.9,1.6,1,0,7.5,NA,0.9,0.9,1.8,0.077,NA,-1.5,0.1,-1.4,0.2
