Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
E.C. Coleman,,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Mike Scott,93.4,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Lew Hitch,90.0,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Mike Muscala,90.0,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Scott Padgett,87.5,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Don Ford,86.7,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
James Ennis,84.8,3.1,3.1,2.6,1.9,0.9,NA,NA,NA
Derrick Williams,84.6,3.6,3,2.6,2.1,1.8,1.1,0,NA
Edgar Jones,83.2,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA
Al Tucker,83.0,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
Mark Landsberger,82.9,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
