Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
E.C. Coleman,,3.2,2.7,2.6,2.5,1.7,0.1
Charles Jones,92.9,3.2,2.8,2.2,2.2,1.6,0
Mike Scott,92.0,3.2,2.7,2.6,2.5,0.9,-0.1
Lew Hitch,90.0,3.3,2.7,2.2,2.2,1.2,NA
Mike Muscala,90.0,3.4,2.5,2.4,1.9,1.6,0.2
Andrew DeClercq,89.4,3.4,3.1,2.9,2.5,1.6,0.4
Don Ford,87.6,3.5,2.8,2.5,2,1.5,0.6
Kevin Restani,87.3,3.5,2.6,2.2,2,1.8,0.5
Fred Roberts,86.2,3,2.6,2,1.9,1.8,0.2
Omri Casspi,85.9,2.7,2.5,2.5,2.4,1.2,0.7
Derrick Williams,84.9,3.6,3,2.6,2.1,1.8,1.1
