Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
CJ McCollum,,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
George Thompson,90.8,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
Josh Childress,86.8,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA
Micheal Williams,85.3,9,7.6,5.7,5.6,0.7,0.3,0,-0.1,-0.1,-0.2
Larry Brown,84.0,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA
Andrew Toney,83.8,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA
Ralph Simpson,82.0,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
Darel Carrier,80.2,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA
Eric Murdock,79.1,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA
Micheal Ray Richardson,78.7,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
Mahmoud Abdul-Rauf,78.0,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA
